Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Elchesheim-Illingen,Gemeinde,8216012,Baden-Württemberg
Elchingen,Gemeinde,9775139,Bayern
Elchweiler,Gemeinde,7134022,Rheinland-Pfalz
Eldena,Gemeinde,13076037,Mecklenburg-Vorpommern
Eldingen,Gemeinde,3351008,Niedersachsen
Elfershausen,Gemeinde,9672121,Bayern
Elgersburg,Gemeinde,16070011,Thüringen 
Elisabeth-Sophien-Koog,Gemeinde,1054026,Schleswig-Holstein
Elkenroth,Gemeinde,7132025,Rheinland-Pfalz
Elleben,Gemeinde,16070012,Thüringen 
Ellefeld,Gemeinde,14523090,Sachsen
Ellenberg,Gemeinde,7134023,Rheinland-Pfalz
Ellenberg,Gemeinde,8136018,Baden-Württemberg
Ellenhausen,Gemeinde,7143015,Rheinland-Pfalz
Ellenz-Poltersdorf,Gemeinde,7135025,Rheinland-Pfalz
Ellerau,Gemeinde,1060019,Schleswig-Holstein
Ellerbek,Gemeinde,1056013,Schleswig-Holstein
Ellerdorf,Gemeinde,1058046,Schleswig-Holstein
Ellerhoop,Gemeinde,1056014,Schleswig-Holstein
Ellern (Hunsrück),Gemeinde,7140035,Rheinland-Pfalz
Ellersleben,Gemeinde,16068008,Thüringen 
Ellerstadt,Gemeinde,7332013,Rheinland-Pfalz
Ellgau,Gemeinde,9772136,Bayern
Ellhofen,Gemeinde,8125024,Baden-Württemberg
Ellhöft,Gemeinde,1054027,Schleswig-Holstein
Ellingen,Stadt,9577125,Bayern
Ellingshausen,Gemeinde,16066018,Thüringen 
Ellingstedt,Gemeinde,1059023,Schleswig-Holstein
Ellrich,Stadt,16062005,Thüringen 
Ellscheid,Gemeinde,7233021,Rheinland-Pfalz
Ellwangen (Jagst),Stadt,8136019,Baden-Württemberg
Ellweiler,Gemeinde,7134024,Rheinland-Pfalz
Ellzee,Gemeinde,9774133,Bayern
Elmenhorst,Gemeinde,1053027,Schleswig-Holstein
Elmenhorst,Gemeinde,1062016,Schleswig-Holstein
Elmenhorst,Gemeinde,13073023,Mecklenburg-Vorpommern
Elmenhorst/Lichtenhagen,Gemeinde,13072030,Mecklenburg-Vorpommern
Elmshorn,Stadt,1056015,Schleswig-Holstein
Elmstein,Gemeinde,7332014,Rheinland-Pfalz
Elpersbüttel,Gemeinde,1051027,Schleswig-Holstein
Elsdorf,Gemeinde,3357013,Niedersachsen
Elsdorf,Stadt,5362016,Nordrhein-Westfalen
Elsdorf-Westermühlen,Gemeinde,1058047,Schleswig-Holstein
Elsendorf,Gemeinde,9273163,Bayern
Elsenfeld,Gemeinde,9676121,Bayern
Elsfleth,Stadt,3461004,Niedersachsen
Elskop,Gemeinde,1061026,Schleswig-Holstein
Elsnig,Gemeinde,14730120,Sachsen
Elsoff (Westerwald),Gemeinde,7143218,Rheinland-Pfalz
Elsteraue,Gemeinde,15084130,Sachsen-Anhalt
Elsterberg,Stadt,14523100,Sachsen
Elsterheide,Gemeinde,14625120,Sachsen
Elstertrebnitz,Gemeinde,14729100,Sachsen
Elsterwerda,Stadt,12062124,Brandenburg
Elstra,Stadt,14625130,Sachsen
